loan_time,age,amount,n_credits,people,inst_rate,residence,checking,history,savings,job,job_status,property,housing,for,sex,debtor,OIP,telephone,foreign,default
6,67,1169,2,1,4,4,< 0,critical,unk_nil,skilled / official,more than 7,real estate,own,rad_tel,male_single,none,none,1,1,2
48,22,5951,1,1,2,2,0 to 200,repaid,<100,skilled / official,1 to less than 4,real estate,own,rad_tel,female,none,none,2,1,1
12,49,2096,1,2,2,3,none,critical,<100,unskilled (resident),4 to less than 7,real estate,own,edu,male_single,none,none,2,1,2
42,45,7882,1,2,2,4,< 0,repaid,<100,skilled / official,4 to less than 7,BSSA/Life,free,fur_equ,male_single,guarantor,none,2,1,2
24,53,4870,2,2,3,4,< 0,delayed,<100,skilled / official,1 to less than 4,UNK/None,free,car_new,male_single,none,none,2,1,1
36,35,9055,1,2,2,4,none,repaid,unk_nil,unskilled (resident),1 to less than 4,UNK/None,free,edu,male_single,none,none,1,1,2
24,53,2835,1,1,3,4,none,repaid,501 to 1000,skilled / official,more than 7,BSSA/Life,own,fur_equ,male_single,none,none,2,1,2
36,35,6948,1,1,2,2,0 to 200,repaid,<100,man/self-em/HQ/off,1 to less than 4,Car/Other,rent,car_used,male_single,none,none,1,1,2
12,61,3059,1,1,2,4,none,repaid,>1000,unskilled (resident),4 to less than 7,real estate,own,rad_tel,male_ds,none,none,2,1,2
30,28,5234,2,1,4,2,0 to 200,critical,<100,man/self-em/HQ/off,unemployed,Car/Other,own,car_new,male_mw,none,none,2,1,1
12,25,1295,1,1,3,1,0 to 200,repaid,<100,skilled / official,less than 1,Car/Other,rent,car_new,female,none,none,2,1,1
48,24,4308,1,1,3,4,< 0,repaid,<100,skilled / official,less than 1,BSSA/Life,rent,business,female,none,none,2,1,1
12,22,1567,1,1,1,1,0 to 200,repaid,<100,skilled / official,1 to less than 4,Car/Other,own,rad_tel,female,none,none,1,1,2
24,60,1199,2,1,4,4,< 0,critical,<100,unskilled (resident),more than 7,Car/Other,own,car_new,male_single,none,none,2,1,1
15,28,1403,1,1,2,4,< 0,repaid,<100,skilled / official,1 to less than 4,Car/Other,rent,car_new,female,none,none,2,1,2
24,32,1282,1,1,4,2,< 0,repaid,101 to 500,unskilled (resident),1 to less than 4,Car/Other,own,rad_tel,female,none,none,2,1,1
